phase	order	beat
22.68	decresccresc	270
35.64	decresccresc	270
22.68	decresccresc	270
-68.04	decresccresc	270
-68.04	decresccresc	270
-64.8	decresccresc	270
-71.28	decresccresc	270
-84.24	decresccresc	270
-13.68	decresccresc	285
34.2	decresccresc	285
13.68	decresccresc	285
11.97	decresccresc	285
61.56	decresccresc	285
82.08	decresccresc	285
20.52	decresccresc	285
-13.68	decresccresc	285
-17.1	decresccresc	285
-32.49	decresccresc	285
-95.4	decresccresc	300
-140.4	decresccresc	300
151.2	decresccresc	300
106.2	decresccresc	300
36	decresccresc	300
-21.6	decresccresc	300
5.4	decresccresc	300
-39.6	decresccresc	300
-95.4	decresccresc	300
136.8	decresccresc	300
